feature,feature_imp
Kiln Inlet O2,0.31529001619431213
A54 Temperature (Bottom cone_ Kiln string),0.08689468728329967
Cooler Fan-1 Pressure,0.0294004266387138
Kiln Drive Current (Torque),0.02848410859637242
Diverter position,0.02577653655246177
Calciner Coal Feed Rate (ILC),0.023578650997446857
Kiln Hood Draft temperature,0.022614569328039496
Kiln inlet Temperature,0.02049890289114402
Specific Air consumption,0.01928519117195273
Cooler Fan 14 Flow SP,0.018834193921274528
Kiln Feed  SP  (ILC),0.017686371622774033
Kiln Coal Feed Rate,0.016853609887672608
TA Duct Temperature,0.01580980351648062
Preheater Exhaust Gas Temperature  (Kiln String),0.015018578176538797
Kiln Coal SP,0.014775259698950985
Preheater Exhaust Gas Temperature (SLC),0.01458140840562786
Cooler Fan 10 Flow,0.012739509889791018
Clinker temperature,0.01133766112241454
Preheater Exhaust Gas Temperature (ILC),0.010653521433810485
Cooler Fan 14 Flow,0.009191837133597251
A54 Draft,0.00873882845601719
Cooler Fan-7 Pressure,0.008408275094458082
Calciner Outlet-2 CO (ILC),0.008135949066150176
Calciner Outlet-2 O2 (ILC),0.008061867142918306
Kiln Outlet O2 (Kiln string),0.007853556393495513
Secondary Air Temperature,0.007775057056544824
Cooler Fan 12 Flow,0.007699088975409594
Calciner Outlet-1 O2 (SLC),0.007542433313772942
Coal Feed Rate (Calciner String),0.007269362315323372
Cooler Fan-6 Pressure,0.006853816411309908
B54 Draft,0.006765093080485737
Vessel_temperature_SP (SLC),0.006673108552741557
Calciner_temperature_SP (ILC),0.006625649010246586
Tower pressure (mmwg),0.006179062823116492
Kiln Outlet CO (Kiln string),0.0059697459177615875
Cooler Fan 15 Flow,0.0059270804904704285
PH Fan Speed  (Kiln String),0.005925910847858773
Calciner Outlet-1 CO (SLC),0.005875570348403715
Stroke Speed PV,0.005699650558022197
Calciner_temperature_PV (ILC),0.0056402819765284705
Cooler Fan 17 Flow,0.0056008407522238615
Kiln Drive Speed,0.005568698258694034
Cooler Fan-3 Pressure,0.005536475508226306
Cooler Fan 16 Flow,0.005375008669371132
Kiln Feed PV (ILC),0.005251287696233658
PH Fan Speed (ILC),0.005135990294326448
C56 Draft,0.005077892105626225
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.004836099242832594
Vessel_Calciner_temperature_PV (SLC),0.0047904053535896525
Cooler Fan 13 Flow,0.004757922429254845
C56 Temperature (Bottom cone_ ILC string),0.004660854563078274
Tower pressure Setpoint,0.004520002327073929
Cooler Fan-4 Pressure,0.004403526209197268
Cooler Fan-5 Pressure,0.004148540418491148
Kiln Drive Speed SP,0.00409656848375424
Cooler Fan 15 Flow SP,0.004081921902385459
Power Consumption Fan 10,0.003966973452286997
Cooler Fan-2 Pressure,0.003936204552599748
Power Consumption Fan 12,0.0037411071175057274
Kiln Feed  SP (SLC),0.0037238000860203846
Power Consumption Fan 13,0.003411488275308592
Cooler Fan 12 Flow SP,0.0032029985835521795
PH FAN SPEED SP  (Kiln String),0.0031677727551150093
Power Consumption Fan 14,0.0029849078716908685
Kiln Feed  SP  (Kiln String),0.002854656731881797
Kiln Feed PV (SLC),0.0026987323270418373
PH Fan Speed (SLC),0.002433773157981319
Power Consumption Fan 16,0.002378585354709386
Kiln Feed PV (Kiln String),0.00236551237533382
Power Consumption Fan 17,0.0023296442792771336
Cooler Fan 17 Flow SP,0.0022776703732389127
Cooler Fan 13 Flow SP,0.001998197759145222
PH FAN SPEED SP (SLC),0.0018299876898120904
Power Consumption Fan 15,0.0016420054223323097
PH FAN SPEED SP (ILC),0.001232208871644008
Cooler Fan 16 Flow SP,0.0008682178544148939
TA Duct Draft,0.00018614734729919852
Cooler Fan 10 Flow SP,3.1412537384748102e-06
